Name,Longitude,Latitude
Albertsons-Clarkston #241,-117.04,46.42
145th and Lake City Way,-122.29,47.73
Clearbrook Town Square,-122.32,49.05
57th & Regal,-117.37,47.6
Safeway-Duvall #1572,-121.99,47.73
Guisachan Village,-119.47,49.87
Cheney Plaza,-117.57,47.51
Sammamish Highlands,-122.03,47.61
QFC - Totem Lake #828,-122.19,47.71
Safeway - Upper Queen Anne #368,-122.36,47.64
East Lake Samm.Cntr,-122.04,47.55
Safeway-Williams Lake #159,-122.14,52.13
Terrace Rd and 101 Ave,-113.42,53.54
Lethbridge Chapters,-112.84,49.7
Village at Beardslee Crossing,-122.19,47.77
Fred Meyer-Spokane #214,-117.4,47.77
52St & McIvor Blvd SE,-113.95,50.91
164th & Alderwood Mall Parkway,-122.27,47.85
Safeway - Toppenish #584,-120.32,46.38
Highway 99,-122.33,47.8
Rt. 2 & 522/Monroe,-121.98,47.86
QFC - Renton #871,-122.15,47.49
2nd & Madison,-122.34,47.61
Safeway - Calgary #2730,-114.14,51.02
168th and Highway 99-Lynnwood,-122.29,47.85
Millwoods Town Centre,-113.43,53.45
University Of Lethbridge,-112.87,49.68
145th & 15th,-122.31,47.73
Safeway - Everett #3298,-122.22,47.93
Overlake Medical Pavilion,-122.19,47.62
Enumclaw,-121.99,47.2
Jasper Gates,-113.58,53.54
Safeway-Calgary #291,-114.16,51.11
Aspen Landing,-114.21,51.04
164th Street Crossing,-122.25,47.85
120th Ave & NE 8th,-122.18,47.62
North Mercer Island,-122.24,47.59
"SEA SeaTac Concourse C, C12",-122.3,47.45
Redmond Ridge,-122.02,47.7
Broadway & E Pike St,-122.32,47.61
Target Federal Way T-1947,-122.31,47.31
Newcastle,-113.54,53.63
Central Park - Kelowna,-119.43,49.89
QFC - South Mercer Island #806,-122.23,47.54
Millrise Centre,-114.07,50.91
Safeway - Arlington #534,-122.18,48.15
